Date,Strategic_Tactic,Forecasted_Arrivals,Lower_Bound,Upper_Bound
2026-01-01,Traditional Leisure,92522.4279952145,70109.52978565845,114935.32620477055
2026-02-01,Traditional Leisure,94444.71056427654,72031.81235472049,116857.60877383259
2026-03-01,Traditional Leisure,90261.75245126209,67848.85424170604,112674.65066081814
2026-04-01,Traditional Leisure,76254.68035011512,53841.782140559066,98667.57855967116
2026-05-01,Traditional Leisure,57064.343483587916,34651.44527403187,79477.24169314397
2026-06-01,Traditional Leisure,64248.880424372794,41835.982214816744,86661.77863392884
2026-07-01,Traditional Leisure,95127.18457942666,72714.2863698706,117540.0827889827
2026-08-01,Traditional Leisure,83260.5287073791,60847.63049782305,105673.42691693515
2026-09-01,Traditional Leisure,65989.75873617159,43576.860526615535,88402.65694572763
2026-10-01,Traditional Leisure,66705.94574275552,44293.04753319947,89118.84395231157
2026-11-01,Traditional Leisure,75912.75451131322,53499.85630175717,98325.65272086927
2026-12-01,Traditional Leisure,94477.32514611325,72064.4269365572,116890.2233556693
2027-01-01,Traditional Leisure,86755.75322710525,64342.8550175492,109168.6514366613
2027-02-01,Traditional Leisure,88678.03579616727,66265.13758661122,111090.93400572332
2027-03-01,Traditional Leisure,84495.07768315283,62082.179473596785,106907.97589270888
2027-04-01,Traditional Leisure,70488.00558200585,48075.1073724498,92900.9037915619
2027-05-01,Traditional Leisure,51297.66871547866,28884.77050592261,73710.56692503471
2027-06-01,Traditional Leisure,58482.205656263526,36069.30744670748,80895.10386581958
2027-07-01,Traditional Leisure,89360.5098113174,66947.61160176135,111773.40802087345
2027-08-01,Traditional Leisure,77493.85393926983,55080.95572971378,99906.75214882588
2027-09-01,Traditional Leisure,60223.08396806231,37810.18575850625,82635.98217761837
2027-10-01,Traditional Leisure,60939.270974646264,38526.372765090215,83352.16918420231
2027-11-01,Traditional Leisure,70146.07974320395,47733.181533647905,92558.97795276
2027-12-01,Traditional Leisure,88710.650378004,66297.75216844794,111123.54858756004
2026-01-01,Emerging Markets,79518.83083039502,67986.71574677849,91050.94591401155
2026-02-01,Emerging Markets,74907.21791957585,56355.781322292016,93458.65451685968
2026-03-01,Emerging Markets,65624.72442065984,43031.67790279336,88217.77093852632
