Date,Country,Strategic_Tactic,Arrivals
2011-01-01,Australia,Traditional Leisure,3588
2011-02-01,Australia,Traditional Leisure,2223
2011-03-01,Australia,Traditional Leisure,3017
2011-04-01,Australia,Traditional Leisure,3341
2011-05-01,Australia,Traditional Leisure,1764
2011-06-01,Australia,Traditional Leisure,2727
2011-07-01,Australia,Traditional Leisure,3487
2011-08-01,Australia,Traditional Leisure,3318
2011-09-01,Australia,Traditional Leisure,3203
2011-10-01,Australia,Traditional Leisure,2575
2011-11-01,Australia,Traditional Leisure,3523
2011-12-01,Australia,Traditional Leisure,8962
2012-01-01,Australia,Traditional Leisure,3855
2012-02-01,Australia,Traditional Leisure,2908
2012-03-01,Australia,Traditional Leisure,3047
2012-04-01,Australia,Traditional Leisure,3554
2012-05-01,Australia,Traditional Leisure,2385
2012-06-01,Australia,Traditional Leisure,3596
2012-07-01,Australia,Traditional Leisure,4500
2012-08-01,Australia,Traditional Leisure,3751
2012-09-01,Australia,Traditional Leisure,4446
2012-10-01,Australia,Traditional Leisure,3609
2012-11-01,Australia,Traditional Leisure,5976
2012-12-01,Australia,Traditional Leisure,9987
2013-01-01,Australia,Traditional Leisure,4860
2013-02-01,Australia,Traditional Leisure,3029
2013-03-01,Australia,Traditional Leisure,4209
2013-04-01,Australia,Traditional Leisure,3731
2013-05-01,Australia,Traditional Leisure,2665
2013-06-01,Australia,Traditional Leisure,4064
2013-07-01,Australia,Traditional Leisure,4724
2013-08-01,Australia,Traditional Leisure,4454
2013-09-01,Australia,Traditional Leisure,4404
2013-10-01,Australia,Traditional Leisure,3312
2013-11-01,Australia,Traditional Leisure,4012
2013-12-01,Australia,Traditional Leisure,10788
2014-01-01,Australia,Traditional Leisure,5535
2014-02-01,Australia,Traditional Leisure,3368
2014-03-01,Australia,Traditional Leisure,3564
2014-04-01,Australia,Traditional Leisure,5232
2014-05-01,Australia,Traditional Leisure,2840
2014-06-01,Australia,Traditional Leisure,4430
2014-07-01,Australia,Traditional Leisure,5124
2014-08-01,Australia,Traditional Leisure,4371
2014-09-01,Australia,Traditional Leisure,4421
2014-10-01,Australia,Traditional Leisure,3794
